Date/Time,Cooling:Electricity [J](Monthly),Heating:NaturalGas [J](Monthly),Fans:Electricity [J](Monthly),HeatingCoils:EnergyTransfer [J](Monthly),CoolingCoils:EnergyTransfer [J](Monthly),InteriorLights:Electricity [J](Monthly),InteriorEquipment:Electricity [J](Monthly),Cooling:Electricity [J](RunPeriod),Heating:NaturalGas [J](RunPeriod),Fans:Electricity [J](RunPeriod),HeatingCoils:EnergyTransfer [J](RunPeriod),CoolingCoils:EnergyTransfer [J](RunPeriod),InteriorLights:Electricity [J](RunPeriod),InteriorEquipment:Electricity [J](RunPeriod),Electricity:Facility [J](TimeStep),Electricity:Facility [J](Monthly),Electricity:Building [J](Monthly),Electricity:HVAC [J](Monthly),NaturalGas:Facility [J](Monthly),NaturalGas:HVAC [J](Monthly),Electricity:Facility [J](RunPeriod),Electricity:Building [J](RunPeriod),Electricity:HVAC [J](RunPeriod),NaturalGas:Facility [J](RunPeriod),NaturalGas:HVAC [J](RunPeriod) 
 06/01  05:15:00,,,,,,,,,,,,,,,427500.0 
 06/01  05:30:00,,,,,,,,,,,,,,,427500.0 
 06/01  05:45:00,,,,,,,,,,,,,,,427500.0 
 06/01  06:00:00,,,,,,,,,,,,,,,427500.0 
 06/01  06:15:00,,,,,,,,,,,,,,,427500.0 
 06/01  06:30:00,,,,,,,,,,,,,,,427500.0 
 06/01  06:45:00,,,,,,,,,,,,,,,427500.0 
 06/01  07:00:00,,,,,,,,,,,,,,,427500.0 
 06/01  07:15:00,,,,,,,,,,,,,,,710226.0163378881 
 06/01  07:30:00,,,,,,,,,,,,,,,742075.907210069 
 06/01  07:45:00,,,,,,,,,,,,,,,778579.3416267268 
 06/01  08:00:00,,,,,,,,,,,,,,,852996.4634164339 
 06/01  08:15:00,,,,,,,,,,,,,,,8757724.313846001 
 06/01  08:30:00,,,,,,,,,,,,,,,8979132.179761168 
 06/01  08:45:00,,,,,,,,,,,,,,,9124455.457880883 
 06/01  09:00:00,,,,,,,,,,,,,,,9242552.619722426 
 06/01  09:15:00,,,,,,,,,,,,,,,15973792.478141539 
