step,zone,baseline_temp_c,agent_temp_c,baseline_occ,agent_occ
51,SPACE4-1,22.507,22.0,2,2
51,SPACE5-1,21.811,20.8,8,8
52,SPACE1-1,22.439,21.6,4,4
52,SPACE2-1,23.36,23.1,2,2
52,SPACE3-1,22.576,21.8,4,4
52,SPACE4-1,22.632,22.0,2,2
52,SPACE5-1,21.779,20.8,8,8
53,SPACE1-1,22.202,21.7,8,4
53,SPACE2-1,22.942,23.0,4,2
53,SPACE3-1,22.319,21.8,8,4
53,SPACE4-1,22.52,22.2,4,2
53,SPACE5-1,21.972,20.7,16,8
54,SPACE1-1,22.099,21.5,8,9
54,SPACE2-1,22.706,22.6,4,4
54,SPACE3-1,22.196,21.6,8,9
54,SPACE4-1,22.629,22.1,4,4
54,SPACE5-1,22.128,20.9,16,16
55,SPACE1-1,22.116,21.4,8,9
55,SPACE2-1,22.618,22.3,4,4
55,SPACE3-1,22.185,21.5,8,9
55,SPACE4-1,22.918,22.2,4,4
55,SPACE5-1,22.189,21.0,16,16
56,SPACE1-1,22.146,21.4,8,9
56,SPACE2-1,22.543,22.2,4,4
56,SPACE3-1,22.176,21.5,8,9
56,SPACE4-1,23.285,22.5,4,4
56,SPACE5-1,22.214,21.1,16,16
57,SPACE1-1,22.102,21.4,11,9
57,SPACE2-1,22.322,22.1,5,4
57,SPACE3-1,22.197,21.4,11,9
57,SPACE4-1,23.532,22.8,5,4
57,SPACE5-1,22.301,21.1,20,16
58,SPACE1-1,22.092,21.4,11,11
58,SPACE2-1,22.173,21.9,5,5
58,SPACE3-1,22.202,21.4,11,11
58,SPACE4-1,23.798,23.1,5,5
58,SPACE5-1,22.373,21.2,20,20
59,SPACE1-1,22.121,21.4,11,11
59,SPACE2-1,22.101,21.7,5,5
59,SPACE3-1,22.197,21.4,11,11
59,SPACE4-1,23.869,23.5,5,5
59,SPACE5-1,22.418,21.2,20,20
60,SPACE1-1,22.156,21.4,11,11
60,SPACE2-1,22.046,21.6,5,5
60,SPACE3-1,22.189,21.4,11,11
60,SPACE4-1,23.889,23.9,5,5
60,SPACE5-1,22.448,21.2,20,20
61,SPACE1-1,22.15,21.4,11,11
61,SPACE2-1,21.957,21.6,5,5
61,SPACE3-1,22.138,21.4,11,11
61,SPACE4-1,23.896,24.0,5,5
61,SPACE5-1,22.42,21.2,20,20
62,SPACE1-1,22.156,21.4,11,11
62,SPACE2-1,21.886,21.5,5,5
62,SPACE3-1,22.1,21.3,11,11
62,SPACE4-1,23.898,24.0,5,5
62,SPACE5-1,22.4,21.2,20,20
63,SPACE1-1,22.17,21.4,11,11
63,SPACE2-1,21.829,21.4,5,5
63,SPACE3-1,22.071,21.3,11,11
63,SPACE4-1,23.898,24.0,5,5
63,SPACE5-1,22.399,21.2,20,20
64,SPACE1-1,22.175,21.4,11,11
64,SPACE2-1,21.773,21.3,5,5
64,SPACE3-1,22.037,21.3,11,11
64,SPACE4-1,23.899,24.0,5,5
64,SPACE5-1,22.404,21.2,20,20
65,SPACE1-1,22.071,21.4,11,11
65,SPACE2-1,21.631,21.3,5,5
65,SPACE3-1,21.904,21.2,11,11
65,SPACE4-1,23.899,24.0,5,5
65,SPACE5-1,22.299,21.2,20,20
66,SPACE1-1,21.973,21.3,11,11
66,SPACE2-1,21.512,21.1,5,5
66,SPACE3-1,21.789,21.1,11,11
66,SPACE4-1,23.899,24.0,5,5
66,SPACE5-1,22.217,21.1,20,20
67,SPACE1-1,21.889,21.2,11,11
67,SPACE2-1,21.42,21.0,5,5
67,SPACE3-1,21.702,21.0,11,11
67,SPACE4-1,23.899,24.0,5,5
67,SPACE5-1,22.177,21.0,20,20
68,SPACE1-1,21.792,21.1,11,11
68,SPACE2-1,21.324,20.9,5,5
68,SPACE3-1,21.611,20.9,11,11
68,SPACE4-1,23.898,24.0,5,5
68,SPACE5-1,22.153,20.9,20,20
69,SPACE1-1,24.362,21.0,11,11
69,SPACE2-1,23.719,20.8,5,5
69,SPACE3-1,23.969,20.8,11,11
69,SPACE4-1,29.929,24.0,5,5
69,SPACE5-1,24.046,20.9,20,20
70,SPACE1-1,26.543,23.3,11,11
